PU_ID,pcd,oseast1m,osnrth1m,msoa01,lat,long
184,BD4 9AA,418657,0430852,E02002234,53.773676,-1.718397
185,BD4 9AB,418569,0430862,E02002234,53.773769,-1.719732
186,BD4 9AD,418612,0430950,E02002234,53.774558,-1.719074
187,BD4 9AE,418768,0430891,E02002234,53.774022,-1.716711
188,BD4 9AF,418898,0430943,E02002234,53.774485,-1.714735
189,BD4 9AG,418711,0430774,E02002234,53.772973,-1.717582
190,BD4 9AH,418842,0430778,E02002234,53.773004,-1.715595
191,BD4 9AJ,418800,0430824,E02002234,53.773419,-1.716229
192,BD4 9AL,418809,0430856,E02002234,53.773721,-1.716094
193,BD4 9AN,418929,0430778,E02002234,53.773001,-1.714275
194,BD4 9AP,418893,0430864,E02002234,53.773775,-1.714816
195,BD4 9AQ,418795,0430723,E02002234,53.772511,-1.716311
196,BD4 9AR,419037,0430848,E02002234,53.773626,-1.712632
197,BD4 9AS,419154,0430805,E02002234,53.773235,-1.710859
198,BD4 9AT,419062,0430730,E02002234,53.772565,-1.71226
199,BD4 9AU,419133,0430717,E02002234,53.772445,-1.711183
200,BD4 9AX,419166,0430659,E02002234,53.771923,-1.710686
201,BD4 9AY,419027,0430649,E02002234,53.771838,-1.712796
202,BD4 9AZ,419027,0430649,E02002234,53.771853,-1.712799
203,BD4 9BA,418955,0430713,E02002234,53.772416,-1.713884
204,BD4 9BB,418957,0430619,E02002234,53.771571,-1.71386
205,BD4 9BD,419027,0430544,E02002234,53.770894,-1.712802
206,BD4 9BE,419084,0430563,E02002234,53.771063,-1.711936
207,BD4 9BG,419012,0430602,E02002234,53.771416,-1.713026
208,BD4 9BJ,419199,0430695,E02002234,53.772245,-1.710183
209,BD4 9BL,419246,0430715,E02002234,53.772423,-1.709469
210,BD4 9BN,419227,0430881,E02002234,53.773916,-1.709747
211,BD4 9BS,419178,0430938,E02002234,53.77443,-1.710487
212,BD4 9BT,419139,0431090,E02002234,53.775797,-1.711069
213,BD4 9BU,419205,0431026,E02002234,53.77522,-1.710072
214,BD4 9BX,419142,0430903,E02002234,53.774117,-1.711035
215,BD4 9BY,419068,0430873,E02002234,53.77385,-1.71216
216,BD4 9DA,419043,0430940,E02002234,53.774453,-1.712535
217,BD4 9DB,418966,0430963,E02002234,53.774662,-1.713702
218,BD4 9DD,419021,0431070,E02002234,53.775622,-1.712861
219,BD4 9DE,419000,0430900,E02002234,53.774095,-1.71319
220,BD4 9DG,419000,0431000,E02002234,53.774994,-1.713184
221,BD4 9DH,419062,0430989,E02002234,53.774892,-1.712244
222,BD4 9DJ,419106,0430927,E02002234,53.774334,-1.71158
223,BD4 9DL,419141,0430993,E02002234,53.774925,-1.711045
224,BD4 9DN,419124,0431056,E02002234,53.775492,-1.711299
225,BD4 9DP,419073,0431074,E02002234,53.775656,-1.712072
226,BD4 9DR,419004,0431158,E02002234,53.776413,-1.713113
227,BD4 9DS,418997,0431177,E02002234,53.776584,-1.713218
228,BD4 9DT,419080,0431191,E02002234,53.776707,-1.711958
229,BD4 9DU,419108,0431178,E02002234,53.776589,-1.7115340000000001
230,BD4 9DW,419000,0431000,E02002234,53.774994,-1.713184
231,BD4 9DX,419096,0431224,E02002234,53.777003,-1.711713
232,BD4 9DY,419168,0431213,E02002234,53.776917,-1.710625
233,BD4 9DZ,419005,0430975,E02002234,53.774784,-1.713113
234,BD4 9EA,418714,0431250,E02002234,53.777251,-1.717508
235,BD4 9EB,418716,0431172,E02002234,53.77655,-1.717483
236,BD4 9ED,418855,0431298,E02002234,53.777677,-1.715366
237,BD4 9EE,418904,0431247,E02002234,53.777217,-1.714625
238,BD4 9EF,418902,0431176,E02002234,53.776579,-1.71466
239,BD4 9EG,418811,0431345,E02002234,53.778101,-1.716031
240,BD4 9EH,418989,0431351,E02002234,53.778149,-1.713329
241,BD4 9EJ,419059,0431311,E02002234,53.777787,-1.712269
242,BD4 9EL,419039,0431395,E02002234,53.778557,-1.712571
243,BD4 9EN,418974,0431375,E02002234,53.778365,-1.713555
244,BD4 9EP,418984,0431522,E02002234,53.779686,-1.713395
245,BD4 9EQ,418736,0431125,E02002234,53.776127,-1.717182
246,BD4 9ER,419057,0431441,E02002234,53.778955,-1.712292
247,BD4 9ES,418942,0431434,E02002234,53.778896,-1.714037
248,BD4 9ET,418971,0431454,E02002234,53.779075,-1.713596
249,BD4 9EU,418856,0431460,E02002234,53.779133,-1.715341
250,BD4 9EW,419125,0431437,E02002234,53.778917,-1.71126
251,BD4 9EX,419040,0431560,E02002234,53.780025,-1.712542
252,BD4 9EY,419078,0431473,E02002234,53.779242000000004,-1.711971
253,BD4 9HB,419145,0431502,E02002234,53.7795,-1.710953
254,BD4 9HD,419132,0431638,E02002234,53.780723,-1.711142
255,BD4 9HE,419183,0431644,E02002234,53.780775,-1.710367
256,BD4 9HG,419119,0431788,E02002234,53.782072,-1.71133
257,BD4 9HH,419155,0431762,E02002234,53.781837,-1.710785
258,BD4 9HJ,419251,0431689,E02002234,53.781177,-1.709333
259,BD4 9HL,419196,0431529,E02002234,53.779741,-1.710177
260,BD4 9HN,419107,0431399,E02002234,53.778576,-1.711536
261,BD4 9LB,418820,0431167,E02002234,53.776501,-1.715905
262,BD4 9PY,418686,0430612,E02002234,53.771533,-1.717975
263,BD4 9SA,419235,0430506,E02002234,53.77056,-1.709652
264,BD4 9SH,418866,0430978,E02002234,53.774801,-1.715218
265,BD4 9SN,418612,0430950,E02002234,53.774573,-1.719077
266,BD4 9YJ,418866,0430978,E02002234,53.774801,-1.715218
267,BD4 9YL,418866,0430978,E02002234,53.774801,-1.715218
268,BD4 9YS,418866,0430978,E02002234,53.774801,-1.715218
269,BD4 9YT,418866,0430978,E02002234,53.774801,-1.715218
