name,pointx_class,feature_easting,feature_northing,street_name,locality,geographic_county,postcode,admin_boundary,brand,FEATClass
Episode One,1020013,429510,433960,City Centre,Leeds,West Yorkshire,LS1 3BR,Leeds District,,Cafes
Sizzling Platter,1020018,424698.7,423939.6,Bradford Road,Batley,West Yorkshire,WF17 5PH,Kirklees District,,Takeaways
Flava,1020018,387877.2,446621.9,Rainhall Road,Barnoldswick,Lancashire,BB18 5DR,Pendle District,,Takeaways
Golden Dragon,1020018,387830,446666.9,Town Centre,Barnoldswick,Lancashire,BB18 5AE,Pendle District,,Takeaways
Piece of Cake,9470661,387750.6,446773.2,Skipton Road,Barnoldswick,Lancashire,BB18 5NB,Pendle District,,Takeaways
Mazdoor,1020018,384070,401281,Cheetham Hill,Manchester,Greater Manchester,M8 9LR,Manchester District,,Takeaways
Mazi - Nicky Convenience Store,9470699,383629.1,400687,Elizabeth Street,Manchester,Greater Manchester,M8 8BQ,Manchester District,,Convenience Stores
Afc,1020018,383790,401800,Bury Old Road,Salford,Greater Manchester,M7 4ZH,Salford District,,Takeaways
Smokys,1020018,383749,401984,Bury Old Road,Manchester,Greater Manchester,M8 5BW,Manchester District,,Takeaways
Cloud 44,1020013,383970,401495,Cheetham Hill,Manchester,Greater Manchester,M8 9LE,Manchester District,,Cafes
Costa Coffee,1020013,430671,433542,New York Street,Leeds,West Yorkshire,LS2 7HU,Leeds District,Costa,Cafes
Ismokeking,9470699,389752,413583,Yorkshire Street,Rochdale,Greater Manchester,OL16 1JU,Rochdale District,,Convenience Stores
Smoothie Shack,1020013,414686.2,437423.3,Town Centre,Shipley,West Yorkshire,BD18 3QH,Bradford District,,Cafes
The Flip Side,1020018,398928,451589,Swadford Street,Skipton,North Yorkshire,BD23 1RD,Craven District,,Takeaways
Aunt Betty's,1020020,415366,431283,Little Horton Lane,Bradford,West Yorkshire,BD5 9BL,Bradford District,,Takeaways
Golden Star,1020018,415213,431144,Little Horton Lane,Bradford,West Yorkshire,BD5 9DQ,Bradford District,,Takeaways
Jeanette's Cakery,1020013,413674,437671,Bingley Road,Shipley,West Yorkshire,BD18 4SD,Bradford District,,Cafes
Ibrahim Foods,9470699,418927.9,433754.8,Leeds Old Road,Bradford,West Yorkshire,BD3 8JF,Bradford District,,Convenience Stores
Parmolicious,1020018,418953,433763,Leeds Old Road,Bradford,West Yorkshire,BD3 8JF,Bradford District,,Takeaways
