PU_ID,pcd,oseast1m,osnrth1m,oslaua,msoa01,lat,long
285,BD1 2BN,416200,433000,E08000032,E02002221,53.793063,-1.755565
286,BD1 2BQ,416047,432964,E08000032,E02002226,53.792759,-1.757892
287,BD1 2BS,416111,432916,E08000032,E02002226,53.792311,-1.75692
288,BD1 2BX,416047,432964,E08000032,E02002226,53.792744,-1.757889
289,BD1 2BY,415900,432900,E08000032,E02002226,53.792174,-1.760124
290,BD1 2DA,416071,432987,E08000032,E02002226,53.79295,-1.757524
291,BD1 2DD,416100,433000,E08000032,E02002221,53.793066,-1.757083
292,BD1 2DF,416077,433021,E08000032,E02002226,53.793256,-1.757431
293,BD1 2DG,416010,433008,E08000032,E02002221,53.793156,-1.758452
294,BD1 2DH,416055,433003,E08000032,E02002221,53.793095,-1.757766
295,BD1 2DJ,416273,433037,E08000032,E02002221,53.793394,-1.754455
296,BD1 2DL,416000,433000,E08000032,E02002221,53.793069,-1.758601
297,BD1 2DN,415966,433123,E08000032,E02002221,53.794176,-1.759111
298,BD1 2DR,415900,433000,E08000032,E02002226,53.793073,-1.760119
299,BD1 2DT,415873,433087,E08000032,E02002221,53.793855,-1.760524
300,BD1 2DU,415800,433000,E08000032,E02002226,53.793076,-1.761637
301,BD1 2DW,415876,433067,E08000032,E02002221,53.793675,-1.76048
302,BD1 2DX,415845,433090,E08000032,E02002221,53.793898,-1.760952
303,BD1 2DZ,416235,433075,E08000032,E02002221,53.793736,-1.75503
304,BD1 2EB,415754,433132,E08000032,E02002221,53.794263,-1.762328
305,BD1 2ED,415700,433000,E08000032,E02002226,53.793079,-1.763155
306,BD1 2EE,415694,433125,E08000032,E02002226,53.794202,-1.763239
307,BD1 2EF,415646,433064,E08000032,E02002226,53.793655,-1.763971
308,BD1 2EG,415852,433020,E08000032,E02002226,53.793254,-1.760846
309,BD1 2EJ,415800,433000,E08000032,E02002226,53.793076,-1.761637
310,BD1 2EL,415800,433000,E08000032,E02002226,53.793076,-1.761637
311,BD1 2EP,415931,432989,E08000032,E02002226,53.792973,-1.759649
312,BD1 2ER,416040,432939,E08000032,E02002226,53.79252,-1.757997
313,BD1 2ES,416036,432916,E08000032,E02002226,53.792328,-1.758062
314,BD1 2EU,415900,433000,E08000032,E02002226,53.793073,-1.760119
315,BD1 2EW,415600,433000,E08000032,E02002226,53.793082,-1.764673
316,BD1 2EX,415600,433000,E08000032,E02002226,53.793082,-1.764673
317,BD1 2EZ,415700,433200,E08000032,E02002221,53.794876,-1.763145
318,BD1 2HA,415751,433270,E08000032,E02002221,53.795518,-1.76237
319,BD1 2HB,415737,433236,E08000032,E02002226,53.795213,-1.762584
320,BD1 2HD,415700,433200,E08000032,E02002221,53.794876,-1.763145
321,BD1 2HE,415600,433300,E08000032,E02002226,53.795778,-1.764658
322,BD1 2HF,415680,433348,E08000032,E02002221,53.796207,-1.763441
323,BD1 2HG,415700,433200,E08000032,E02002221,53.794876,-1.763145
324,BD1 2HH,415600,433300,E08000032,E02002226,53.795778,-1.764658
325,BD1 2HJ,416178,434065,E08000032,E02002221,53.802636,-1.755843
326,BD1 2HL,416488,433401,E08000032,E02002221,53.796658,-1.751172
327,BD1 2HN,415700,433200,E08000032,E02002221,53.794876,-1.763145
328,BD1 2HP,415658,433267,E08000032,E02002226,53.79548,-1.763779
329,BD1 2HQ,415623,433328,E08000032,E02002226,53.796044,-1.76431
330,BD1 2HR,415681,433329,E08000032,E02002221,53.796036,-1.763427
331,BD1 2HS,415717,433221,E08000032,E02002226,53.795064000000004,-1.762885
332,BD1 2HT,415672,433229,E08000032,E02002226,53.795138,-1.763568
333,BD1 2HW,415700,433200,E08000032,E02002221,53.794876,-1.763145
334,BD1 2HX,415704,433253,E08000032,E02002226,53.795352,-1.763081
335,BD1 2HY,415753,433195,E08000032,E02002221,53.79483,-1.76234
336,BD1 2JA,415750,433172,E08000032,E02002221,53.794623,-1.762387
337,BD1 2JB,416178,434065,E08000032,E02002221,53.802636,-1.755843
338,BD1 2JD,415490,433301,E08000032,E02002226,53.79579,-1.766327
339,BD1 2JE,415460,433318,E08000032,E02002226,53.795944,-1.766782
340,BD1 2JG,415600,433100,E08000032,E02002226,53.79398,-1.764668
341,BD1 2JH,415631,433235,E08000032,E02002226,53.795207,-1.764194
342,BD1 2JL,415469,433269,E08000032,E02002226,53.795518,-1.766651
343,BD1 2JN,415459,433350,E08000032,E02002226,53.796246,-1.766799
344,BD1 2JQ,415336,433353,E08000032,E02002223,53.796262,-1.768663
345,BD1 2JR,415600,433200,E08000032,E02002226,53.794879,-1.764663
346,BD1 2JS,415262,433436,E08000032,E02002223,53.797025,-1.769785
347,BD1 2JT,415405,433337,E08000032,E02002223,53.796116,-1.767616
348,BD1 2JU,415400,433400,E08000032,E02002226,53.796683,-1.767689
349,BD1 2JW,415479,433376,E08000032,E02002226,53.796465,-1.766491
350,BD1 2JX,415457,433390,E08000032,E02002226,53.796591,-1.766824
351,BD1 2JY,415323,433529,E08000032,E02002223,53.797844,-1.768851
352,BD1 2LA,415366,433491,E08000032,E02002223,53.797516,-1.768204
353,BD1 2LB,415287,433468,E08000032,E02002223,53.797297,-1.769401
354,BD1 2LD,415348,433445,E08000032,E02002223,53.797089,-1.768476
355,BD1 2LF,415443,433537,E08000032,E02002221,53.797927,-1.767033
